('e', 'a', 'l', 'l') 1323
('f', 't', 'e', 'r') 400
('n', 'd', 'e', 'r') 399
('w', 'i', 'l', 'l') 399
('s', 'w', 'y', 'l') 394
('l', 'd', 'r', 'e') 391
('þ', 'e', 'o', 'd') 385
('w', 'u', 'n', 'd') 378
('s', 'c', 'e', 'o') 376
('a', 'l', 'i', 'g') 374
('h', 'a', 'l', 'i') 371
('r', 'i', 'c', 'e') 368
('n', 'd', 'u', 'm') 367
('a', 'n', 'g', 'e') 366
('n', 'd', 'e', 't') 365
('h', 'æ', 'l', 'e') 363
('i', 'n', 'u', 'm') 361
('g', 'e', 'n', 'd') 361
('e', 'o', 'l', 'd') 359
('m', 'æ', 'g', 'e') 359
('h', 'e', 'a', 'r') 358
('h', 'w', 'y', 'l') 357
('l', 'd', 'e', 'n') 355
('i', 'n', 'g', 'e') 355
('s', 'y', 'l', 'f') 355
('l', 'd', 'o', 'r') 352
('r', 'd', 'u', 'm') 348
('t', 'n', 'e', 's') 348
('n', 'g', 'a', 'n') 342
('e', 'a', 'r', 'f') 341
('c', 'y', 'n', 'n') 341
('g', 'e', 'o', 'n') 336
('d', 'e', 'n', 'd') 331
('m', 'i', 'n', 'e') 330
('æ', 'n', 'i', 'g') 329
('s', 't', 'r', 'e') 328
('m', 'o', 'd', 'e') 328
('s', 'e', 'c', 'g') 325
('g', 'e', 'w', 'e') 324
('þ', 'o', 'n', 'e') 323
('e', 's', 'c', 'e') 320
('e', 'r', 's', 'e') 319
('e', 'o', 'r', 'c') 318
('h', 'w', 'i', 'l') 317
('v', 'e', 'r', 's') 317
('þ', 'e', 'a', 'h') 316
('r', 'm', 'i', 'n') 313
('s', 'a', 'x', 'o') 313
('a', 'x', 'o', 'n') 313
('y', 'n', 'n', 'e') 312
('i', 'n', 'n', 'e') 312
('y', 'h', 't', 'e') 311
('e', 'r', 'm', 'i') 311
('æ', 'f', 'r', 'e') 310
('d', 'e', 't', 'e') 310
('t', 'e', 'r', 'm') 310
('m', 'i', 'n', 'a') 310
('l', 'e', 'o', 'f') 309
('h', 't', 'i', 'g') 309
('i', 'n', 'a', 't') 309
('n', 'a', 't', 'e') 309
('o', 'h', 't', 'e') 308
('h', 'æ', 'f', 'd') 307
('þ', 'i', 'n', 'e') 307
('g', 'e', 'w', 'i') 304
('h', 'w', 'æ', 't') 302
('o', 'r', 'd', 'u') 302
('u', 'l', 'd', 'r') 301
('g', 'e', 'n', 'e') 300
('ð', 'ð', 'a', 'n') 298
('r', 'e', 'a', 'm') 298
('æ', 'd', 'e', 'r') 295
('o', 'n', 'g', 'e') 294
('d', 'e', 's', 't') 294
('æ', 'g', 'e', 'n') 293
('g', 'e', 's', 't') 291
('e', 'o', 'h', 't') 291
('e', 'l', 'l', 'e') 289
('e', 'o', 'r', 'a') 287
('f', 'r', 'e', 'm') 285
('s', 'w', 'i', 'ð') 285
('w', 'o', 'l', 'd') 284
('e', 'o', 'r', 'þ') 284
('m', 'e', 'a', 'h') 283
('l', 'e', 'o', 'd') 280
('m', 'a', 'n', 'n') 279
('l', 'l', 'a', 'n') 279
('e', 'a', 'r', 'ð') 278
('c', 'e', 'o', 'l') 278
('e', 'n', 'g', 'l') 277
('w', 'a', 'l', 'd') 275
('g', 'e', 'h', 'y') 274
('f', 'e', 'o', 'n') 272
('o', 'l', 'd', 'a') 268
('c', 'e', 'a', 'f') 267
('i', 'h', 't', 'i') 266
('e', 'o', 'r', 't') 262
('n', 'i', 'h', 't') 262
('c', 'r', 'æ', 'f') 262
('a', 'l', 'd', 'a') 261
('r', 'e', 's', 't') 260
('o', 'r', 'n', 'e') 260
('s', 't', 'u', 'm') 259
('r', 'o', 'd', 'e') 258
('n', 'n', 'a', 'n') 257
('l', 'i', 'f', 'e') 257
('p', 's', 'a', 'l') 257
('w', 'i', 'd', 'e') 256
('f', 'æ', 'd', 'e') 255
('h', 'a', 'l', 'g') 255
('n', 'n', 'e', 's') 254
('g', 'e', 'f', 'e') 254
('o', 'r', 'g', 'e') 253
('g', 'e', 'o', 'r') 252
('æ', 'r', 'o', 'n') 251
('g', 'e', 'f', 'r') 250
('e', 'd', 'o', 'n') 250
('e', 'a', 'f', 't') 250
('i', 'l', 'd', 'e') 250
('y', 'r', 'd', 'e') 249
('n', 'd', 'a', 'n') 249
('f', 'r', 'e', 'o') 249
('r', 'h', 't', 'e') 247
('e', 't', 't', 'e') 245
('l', 'e', 'o', 'h') 245
('e', 'n', 'n', 'e') 244
('e', 'c', 'a', 'n') 243
('f', 'o', 'r', 'þ') 242
('r', 'æ', 'f', 't') 241
('o', 'r', 'þ', 'a') 240
('o', 'r', 'd', 'e') 235
('e', 'o', 'r', 'l') 232
('f', 'o', 'l', 'd') 232
('w', 'i', 'h', 't') 232
('n', 'g', 'e', 'a') 230
('n', 'g', 'l', 'a') 229
('n', 'n', 'u', 'm') 228
('w', 'l', 'i', 't') 226
('e', 'a', 'r', 'm') 225
('æ', 'f', 'd', 'e') 225
('e', 'a', 'r', 't') 225
('i', 'l', 'l', 'a') 225
('r', 'i', 's', 't') 225
('n', 'd', 'e', 'n') 224
('w', 'æ', 'r', 'e') 224
('f', 'e', 'l', 'a') 222
('g', 'a', 's', 't') 222
('d', 'r', 'e', 'a') 221
('þ', 'æ', 'r', 'e') 221
('a', 'l', 'd', 'o') 220
('l', 'e', 'a', 's') 220
('n', 'g', 'e', 's') 220
('m', 'o', 'n', 'n') 220
('d', 'r', 'e', 's') 219
('n', 'd', 'r', 'a') 218
('a', 'h', 't', 'e') 218
('i', 'd', 'd', 'a') 218
('e', 'h', 'w', 'y') 218
('w', 'æ', 'r', 'o') 218
('t', 'r', 'e', 'o') 216
('þ', 'e', 'a', 'r') 216
('i', 's', 's', 'e') 215
('f', 'r', 'u', 'm') 213
('g', 'æ', 's', 't') 213
('r', 'þ', 'a', 'n') 213
('i', 'h', 't', 'n') 213
('h', 'e', 'a', 'h') 212
('æ', 'g', 'h', 'w') 211
('c', 'w', 'æ', 'ð') 211
('e', 's', 't', 'a') 211
('h', 'a', 'n', 'd') 211
('n', 'i', 'g', 'e') 210
('æ', 'l', 'e', 'ð') 210
('l', 'i', 'g', 'e') 210
('s', 'a', 'w', 'l') 209
('s', 'e', 'n', 'd') 208
('f', 'r', 'e', 'a') 207
('r', 'i', 'n', 'g') 206
('e', 'n', 'g', 'e') 206
